Month/Year,License Class,Trips Per Day,Farebox Per Day,Unique Drivers,Unique Vehicles,Vehicles Per Day,Avg Days Vehicles on Road,Avg Hours Per Day Per Vehicle,Avg Days Drivers on Road,Avg Hours Per Day Per Driver,Avg Minutes Per Trip,Percent of Trips Paid with Credit Card,Trips Per Day Shared
2018-07,FHV - Black Car,"13,614",-,"6,242","6,188","3,086",15.5,3.4,15.4,3.4,32,-,13
2018-07,FHV - High Volume,"630,977",-,"79,945","78,100","51,565",20.5,6.3,20.3,6.2,20,-,"163,171"
2018-07,FHV - Livery,"44,963",-,"9,649","9,396","6,378",21,5.3,20.8,5.2,18,-,18
2018-07,FHV - Lux Limo,"2,377",-,"2,663","2,488","1,072",13.4,2.2,12.8,2.1,69,-,-
2018-07,Green,"22,048","331,003","3,909","3,588","2,754",23.8,5.5,22.4,5.4,14.8,56%,-
2018-07,Yellow,"253,186","3,735,128","23,142","12,092","10,788",27.7,11.3,21.3,7.7,14.1,68%,-
2018-06,FHV - Black Car,"17,207",-,"7,155","7,119","3,809",16.1,3.5,16,3.5,34,-,-
2018-06,FHV - High Volume,"626,423",-,"78,862","77,460","51,728",20,6.3,19.9,6.2,20,-,"143,298"
2018-06,FHV - Livery,"55,453",-,"10,655","10,332","7,357",21.4,5.5,21.1,5.3,18,-,18
2018-06,FHV - Lux Limo,"3,433",-,"3,135","3,062","1,431",14,2.4,14.2,2.3,73,-,-
2018-06,Green,"24,610","374,454","3,976","3,653","2,858",23.5,5.8,22.1,5.6,15.5,56%,-
2018-06,Yellow,"290,362","4,283,693","23,737","12,222","11,223",27.5,11.9,21.4,7.9,14.7,70%,-
2018-05,FHV - Black Car,"16,826",-,"7,268","7,224","3,906",16.8,3.5,16.7,3.5,35,-,-
2018-05,FHV - High Volume,"620,950",-,"77,775","76,382","51,355",20.8,6.3,20.7,6.2,20,-,"148,036"
2018-05,FHV - Livery,"55,083",-,"10,697","10,368","7,298",21.8,5.4,21.6,5.3,19,-,15
2018-05,FHV - Lux Limo,"3,531",-,"3,180","3,141","1,463",14.4,2.4,14.7,2.3,72,-,-
2018-05,Green,"25,693","386,965","4,057","3,707","2,949",24.7,5.8,23.1,5.7,15.5,57%,-
2018-05,Yellow,"297,508","4,431,220","24,330","12,317","11,396",28.7,12.1,22.3,7.9,14.9,69%,-
2018-04,FHV - Black Car,"16,088",-,"7,221","7,176","3,832",16,3.5,16,3.4,34,-,-
2018-04,FHV - High Volume,"616,450",-,"75,879","74,273","49,959",20.2,6.3,20,6.2,20,-,"160,806"
2018-04,FHV - Livery,"57,501",-,"11,472","11,106","7,768",21,5.4,20.8,5.3,19,-,14
2018-04,FHV - Lux Limo,"3,362",-,"3,289","3,214","1,446",13.5,2.3,13.6,2.2,63,-,-
2018-04,Green,"26,642","384,918","4,081","3,746","2,976",23.8,5.9,22.4,5.8,14.5,56%,-
2018-04,Yellow,"310,169","4,486,177","24,807","12,372","11,534",28,12.4,21.5,8.1,14.2,70%,-
2018-03,FHV - Black Car,"16,422",-,"7,535","7,471","3,988",16.5,3.4,16.5,3.4,35,-,-
2018-03,FHV - High Volume,"624,601",-,"74,288","72,691","49,102",20.9,6.4,20.7,6.3,19,-,"157,162"
2018-03,FHV - Livery,"58,458",-,"11,687","11,313","7,795",21.4,5.4,21.1,5.3,19,-,12
2018-03,FHV - Lux Limo,"3,127",-,"3,174","3,077","1,346",13.6,2.3,13.6,2.2,64,-,-
2018-03,Green,"26,967","374,253","4,145","3,773","2,961",24.3,5.9,22.7,5.8,13.9,55%,-
2018-03,Yellow,"304,169","4,293,867","24,991","12,389","11,480",28.7,12.2,21.9,7.9,13.7,70%,-
2018-02,FHV - Black Car,"17,415",-,"7,550","7,529","4,063",15.1,3.5,15.1,3.5,33,-,-
2018-02,FHV - High Volume,"603,801",-,"72,893","71,731","48,772",19,6.3,18.9,6.3,19,-,"140,622"
2018-02,FHV - Livery,"58,545",-,"12,653","12,055","8,242",19.1,5.3,18.6,5.2,18,-,19
2018-02,FHV - Lux Limo,"3,240",-,"3,273","3,189","1,399",12.3,2.3,12.4,2.2,62,-,-
